ID,label
00001.jpg,6
00002.jpg,3
00003.jpg,0
00004.jpg,2
00005.jpg,5
00006.jpg,0
00007.jpg,0
00008.jpg,7
00009.jpg,9
00010.jpg,6
00011.jpg,6
00012.jpg,0
00013.jpg,5
00014.jpg,0
00016.jpg,4
00017.jpg,4
00018.jpg,3
00019.jpg,7
00020.jpg,8
00021.jpg,8
00022.jpg,0
00023.jpg,3
00024.jpg,7
00025.jpg,1
00026.jpg,6
00028.jpg,3
00029.jpg,6
00030.jpg,6
00031.jpg,6
00032.jpg,2
00033.jpg,2
00034.jpg,8
00035.jpg,1
00036.jpg,4
00037.jpg,6
00038.jpg,2
00039.jpg,0
00041.jpg,2
00042.jpg,5
00043.jpg,2
00044.jpg,0
00045.jpg,8
00046.jpg,4
00047.jpg,9
00048.jpg,4
00049.jpg,9
00050.jpg,5
00051.jpg,7
00052.jpg,9
00053.jpg,6
00054.jpg,8
00055.jpg,8
00056.jpg,0
00057.jpg,2
00058.jpg,1
00059.jpg,0
00060.jpg,8
00062.jpg,0
00063.jpg,7
00064.jpg,3
00065.jpg,2
00066.jpg,9
00067.jpg,3
00068.jpg,9
00069.jpg,6
00070.jpg,8
00071.jpg,8
00072.jpg,2
00073.jpg,2
00074.jpg,9
00075.jpg,7
00076.jpg,1
00077.jpg,7
00078.jpg,8
00079.jpg,6
00080.jpg,7
00081.jpg,5
00082.jpg,4
00083.jpg,8
00085.jpg,2
00086.jpg,4
00088.jpg,2
00089.jpg,6
00090.jpg,5
00091.jpg,3
00092.jpg,8
00093.jpg,1
00094.jpg,3
00095.jpg,3
00097.jpg,4
00098.jpg,1
00100.jpg,8
00101.jpg,9
00102.jpg,9
00103.jpg,7
00104.jpg,8
00105.jpg,6
00106.jpg,7
00107.jpg,7
00108.jpg,0
00109.jpg,7
00110.jpg,2
00111.jpg,3
00112.jpg,7
00113.jpg,7
00114.jpg,0
00116.jpg,0
00117.jpg,4
00119.jpg,5
00120.jpg,6
00121.jpg,0
00122.jpg,0
00124.jpg,4
00125.jpg,0
00126.jpg,0
00127.jpg,4
00129.jpg,2
00130.jpg,9
00131.jpg,6
00132.jpg,2
00133.jpg,9
00134.jpg,5
00135.jpg,1
00136.jpg,5
00137.jpg,0
00138.jpg,5
00139.jpg,6
00140.jpg,0
00141.jpg,9
00142.jpg,6
00143.jpg,7
00144.jpg,7
00145.jpg,9
00146.jpg,4
00147.jpg,2
